class,order_id,order,suborder,fam_id,family,subfamily,genus
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodielloideae,Lateristachys
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodielloideae,Lycopodiella
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodielloideae,Palhinhaea
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodielloideae,Pseudolycopodiella
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Austrolycopodium
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Dendrolycopodium
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Diphasiastrum
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Diphasium
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Lycopodiastrum
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Lycopodium
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Pseudodiphasium
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Pseudolycopodium
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Lycopodioideae,Spinulum
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Huperzioideae,Huperzia
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Huperzioideae,Phlegmariurus
Lycopodiopsida,A,Lycopodiales,NA,1,Lycopodiaceae,Huperzioideae,Phylloglossum
Lycopodiopsida,B,Isoëtales,NA,2,Isoëtaceae,NA,Isoëtes
Lycopodiopsida,C,Selaginellales,NA,3,Selaginellaceae,NA,Selaginella
Polypodiopsida,D,Equisetales,NA,4,Equisetaceae,NA,Equisetum
Polypodiopsida,E,Psilotales,NA,5,Psilotaceae,NA,Psilotum
