New Phytologist Supporting Information
"Authors: Joel H. Nitta, James E. Watkins, Jr., and Charles C. Davis"
Article acceptance date: 5 February 2020
"Table S1: List of ferns from Moorea, French Polynesia included in this study"
Taxon code,Genus,Specific epithet,Infraspecific epithet,Informal variety,Scientific name,Name source
Abrodictyum_asaegrayi1,Abrodictyum,asaegrayi,NA,1,Abrodictyum asae-grayi (Bosch) Ebihara & K.Iwats.,IPNI
Abrodictyum_asaegrayi2,Abrodictyum,asaegrayi,NA,2,Abrodictyum asae-grayi (Bosch) Ebihara & K.Iwats.,IPNI
Abrodictyum_caudatum,Abrodictyum,caudatum,NA,NA,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,IPNI
Abrodictyum_dentatum,Abrodictyum,dentatum,NA,NA,Abrodictyum dentatum (Bosch) Ebihara & K.Iwats.,IPNI
Acrostichum_aureum,Acrostichum,aureum,NA,NA,Acrostichum aureum,IPNI
Adiantum_hispidulum,Adiantum,hispidulum,NA,NA,Adiantum hispidulum,IPNI
Adiantum_raddianum,Adiantum,raddianum,NA,NA,Adiantum raddianum C. Presl,TROPICOS
Adiantum_trapeziforme,Adiantum,trapeziforme,NA,NA,Adiantum trapeziforme,IPNI
Alsophila_tahitensis,Alsophila,tahitensis,NA,NA,Alsophila tahitensis Brack.,IPNI
Amphineuron_opulentum,Amblovenatum,opulentum,NA,NA,Amblovenatum opulentum (Kaulf.) J.P.Roux,IPNI
Angiopteris_evecta,Angiopteris,evecta,NA,NA,Angiopteris evecta (G. Forst.) Hoffm.,TROPICOS
Antrophyum_plantagineum,Antrophyum,plantagineum,NA,NA,Antrophyum plantagineum (Cav.) Kaulf.,TROPICOS
Antrophyum_reticulatum,Antrophyum,reticulatum,NA,NA,Antrophyum reticulatum (G. Forst.) Kaulf.,TROPICOS
Antrophyum_sp1,Antrophyum,sp,NA,NA,Antrophyum Kaulf.,TROPICOS
Arachniodes_aristata,Arachniodes,aristata,NA,NA,Arachniodes aristata (G. Forst.) Tindale,TROPICOS
Archigrammitis_tahitensis,Archigrammitis,tahitensis,NA,NA,Archigrammitis tahitensis (C.Chr.) Parris,NCBI
Arthropteris_palisotii,Arthropteris,palisotii,NA,NA,Arthropteris palisotii (Desv.) Alston,TROPICOS
Asplenium_affine,Asplenium,affine,NA,NA,Asplenium affine Sw.,TROPICOS
Asplenium_australasicum,Asplenium,australasicum,NA,NA,Asplenium australasicum,IPNI
Asplenium_caudatum,Asplenium,caudatum,NA,NA,Asplenium caudatum G. Forst.,TROPICOS
Asplenium_gibberosum,Asplenium,gibberosum,NA,NA,Asplenium gibberosum (Forst.) Mett.,IPNI
Asplenium_nidus,Asplenium,nidus,NA,NA,Asplenium nidus,IPNI
Asplenium_polyodon,Asplenium,polyodon,NA,NA,Asplenium polyodon G. Forst.,TROPICOS
Asplenium_tenerum,Asplenium,tenerum,NA,NA,Asplenium tenerum G. Forst.,TROPICOS
Belvisia_spicata,Lepisorus,spicatus,NA,NA,Lepisorus spicatus (L.f.) Li Wang,IPNI
Blechnum_orientale,Blechnopsis,orientalis,NA,NA,Blechnopsis orientalis (L.) C. Presl,TROPICOS
Blechnum_pacificum,Parablechnum,pacificum,NA,NA,Parablechnum pacificum (Lorence & A.R.Sm.) Gasper & Salino,IPNI
Blechnum_patersonii,Austroblechnum,patersonii,NA,NA,Austroblechnum patersonii (R.Br.) Gasper & V.A.O.Dittrich,IPNI
Blechnum_raiateense,Austroblechnum,raiateense,NA,NA,Austroblechnum raiateense (J.W.Moore) Gasper & V.A.O.Dittrich,IPNI
